"Ht","Wt","Forty","Vertical","BenchReps","BroadJump","Cone","Shuttle","Year","Round","Pick","PosRec","RoundRec","seq"
76,267,4.85,NA,34,NA,NA,NA,2003,NA,NA,"DL",8,1064
73,232,4.76,32.5,17,115,7.55,4.41,2003,NA,NA,"LB",8,1065
79,310,5.2,35.5,NA,107,7.98,4.65,2003,1,26,"OL",1,1066
73,238,4.75,30.5,NA,107,7.57,4.35,2003,3,70,"LB",3,1067
76,281,4.87,30.5,23,109,NA,NA,2003,1,14,"DL",1,1068
73,245,4.8,NA,20,NA,NA,NA,2003,2,40,"LB",2,1069
70,222,4.6,34,29,115,7.38,4.42,2003,NA,NA,"RB",8,1070
80,262,4.83,35,24,112,7.26,4.33,2003,NA,NA,"TE",8,1071
74,200,4.51,38,NA,125,6.72,3.95,2003,NA,NA,"WR",8,1072
72,252,4.86,33,29,117,7.26,4.33,2003,2,53,"LB",2,1073
73,333,5.3,NA,30,NA,8.46,5.13,2003,4,102,"OL",4,1074
74,208,4.55,34.5,13,122,6.99,4.03,2003,5,137,"DB",5,1075
74,277,5.08,32,20,120,7.55,4.36,2003,NA,NA,"DL",8,1076
70,178,4.56,31.5,NA,114,7.34,4.28,2003,7,221,"WR",7,1077
78,246,4.96,NA,NA,NA,NA,NA,2003,NA,NA,"K",8,1078
74,267,4.86,30,24,106,7.68,4.52,2003,6,194,"DL",6,1079
78,303,5.08,31,37,104,7.72,4.57,2003,3,73,"OL",3,1080
76,266,4.86,37,14,114,7.69,4.5,2003,2,59,"DL",2,1081
76,356,5.4,NA,NA,NA,NA,NA,2003,NA,NA,"OL",8,1082
72,205,4.42,NA,NA,NA,NA,NA,2003,2,44,"WR",2,1083
74,242,4.71,32.5,NA,113,7.53,4.54,2003,4,103,"LB",4,1084
79,311,5.26,30,18,96,8.47,4.69,2003,NA,NA,"OL",8,1085
73,206,4.56,33.5,19,117,7.01,4.19,2003,4,100,"DB",4,1086
77,247,4.61,33.5,NA,NA,NA,NA,2003,2,63,"WR",2,1087
78,278,4.96,33.5,18,115,7.15,4.47,2003,NA,NA,"TE",8,1088
73,228,4.45,NA,19,NA,NA,NA,2003,1,27,"RB",1,1089
71,260,4.9,29,20,103,NA,NA,2003,4,118,"RB",4,1090
75,284,5.07,28.5,21,107,7.72,4.58,2003,4,109,"DL",4,1091
75,289,5.28,24.5,17,97,8.27,4.89,2003,NA,NA,"OL",8,1092
75,232,5.17,NA,NA,NA,NA,NA,2003,6,180,"K",6,1093
74,214,4.57,NA,NA,NA,NA,NA,2003,1,17,"WR",1,1094
71,201,4.38,38.5,NA,127,NA,NA,2003,2,45,"WR",2,1095
78,329,5.37,NA,30,NA,NA,NA,2003,NA,NA,"OL",8,1096
74,230,4.41,39,NA,132,NA,NA,2003,1,3,"WR",1,1097
75,305,4.95,NA,NA,NA,NA,NA,2003,2,38,"OL",2,1098
76,272,4.78,30.5,19,109,NA,NA,2003,2,41,"TE",2,1099
77,308,5.18,NA,29,NA,NA,NA,2003,1,25,"DL",1,1100
78,319,5.44,29.5,NA,101,8.32,4.86,2003,NA,NA,"OL",8,1101
72,218,4.61,35,NA,113,NA,NA,2003,6,198,"DB",6,1102
75,312,5.73,26,21,95,8.57,5.09,2003,NA,NA,"OL",8,1103
72,186,4.42,35,NA,125,7.51,4.24,2003,6,203,"WR",6,1104
76,273,4.75,36.5,23,121,NA,NA,2003,2,48,"DL",2,1105
76,322,5.2,NA,NA,NA,NA,NA,2003,1,12,"DL",1,1106
71,204,4.46,38,16,127,6.88,3.96,2003,2,62,"DB",2,1107
75,281,4.95,35,25,114,7.5,4.37,2003,5,141,"DL",5,1108
76,299,5.42,28,20,106,7.99,4.73,2003,4,133,"OL",4,1109
75,213,4.77,30,NA,101,6.92,4.1,2003,6,201,"QB",6,1110
77,291,5.32,NA,NA,NA,NA,NA,2003,NA,NA,"OL",8,1111
71,283,4.94,33.5,26,111,7.52,4.43,2003,4,117,"DL",4,1112
78,316,5.14,31,28,103,7.95,4.62,2003,7,215,"OL",7,1113
75,297,5.43,28.5,27,101,8.26,4.56,2003,5,164,"OL",5,1114
74,290,5.08,28,26,106,NA,NA,2003,5,171,"DL",5,1115
78,333,5.57,27,17,92,8.44,4.86,2003,NA,NA,"OL",8,1116
76,327,4.98,30,23,106,7.78,4.69,2003,5,147,"DL",5,1117
75,249,4.82,39,26,120,7.42,4.42,2003,5,156,"TE",5,1118
77,241,4.85,NA,NA,NA,NA,NA,2003,1,7,"QB",1,1119
72,196,4.48,34.5,13,119,6.95,4.15,2003,5,152,"DB",5,1120
72,200,4.65,33.5,11,115,7.42,4.21,2003,7,244,"DB",7,1121
75,305,4.97,26,30,95,7.53,4.56,2003,NA,NA,"DL",8,1122
72,184,4.62,36,NA,NA,NA,NA,2003,4,124,"WR",4,1123
78,302,5.1,NA,NA,105,NA,NA,2003,4,126,"DL",4,1124
72,246,4.75,34,24,111,7.53,4.24,2003,NA,NA,"RB",8,1125
77,300,5.16,28.5,20,93,7.86,4.51,2003,NA,NA,"OL",8,1126
74,235,4.64,34,17,114,6.9,4.15,2003,NA,NA,"LB",8,1127
76,301,5.28,NA,NA,NA,NA,NA,2003,7,249,"OL",7,1128
70,233,4.67,NA,NA,NA,NA,NA,2003,7,218,"RB",7,1129
71,211,4.65,33.5,18,115,7.33,4.5,2003,NA,NA,"RB",8,1130
71,215,4.49,32,NA,119,7.32,4.26,2003,5,158,"WR",5,1131
75,301,5.14,30,30,105,7.75,4.77,2003,5,168,"OL",5,1132
69,198,4.68,32,NA,109,7.27,4.23,2003,NA,NA,"WR",8,1133
70,189,4.58,32.5,18,115,NA,NA,2003,NA,NA,"DB",8,1134
69,185,4.52,36.5,12,117,7.11,4.17,2003,3,82,"DB",3,1135
73,303,5.05,28.5,26,107,7.77,4.66,2003,NA,NA,"DL",8,1136
74,304,5.06,29.5,27,107,7.59,4.4,2003,3,72,"OL",3,1137
74,201,4.9,NA,NA,NA,NA,NA,2003,NA,NA,"K",8,1138
73,195,5.25,NA,NA,NA,NA,NA,2003,NA,NA,"K",8,1139
77,359,5.22,27.5,NA,92,NA,NA,2003,NA,NA,"OL",8,1140
75,299,5.15,NA,30,NA,NA,NA,2003,NA,NA,"DL",8,1141
73,202,4.45,38.5,22,123,7.09,4.17,2003,NA,NA,"DB",8,1142
72,213,5.07,NA,NA,NA,NA,NA,2003,NA,NA,"K",8,1143
71,202,4.49,NA,27,NA,NA,NA,2003,NA,NA,"RB",8,1144
68,169,4.43,NA,NA,NA,NA,NA,2003,4,106,"WR",4,1145
73,227,4.99,31,NA,110,7.6,4.44,2003,NA,NA,"LB",8,1146
74,264,4.67,34,NA,117,7.28,4.58,2003,1,15,"DL",1,1147
72,223,4.45,NA,NA,NA,NA,NA,2003,1,23,"RB",1,1148
70,201,4.57,37,15,126,6.88,4.09,2003,4,111,"DB",4,1149
76,210,4.61,NA,NA,NA,NA,NA,2003,3,95,"WR",3,1150
76,248,4.88,34.5,22,117,NA,NA,2003,4,128,"DL",4,1151
74,201,4.52,36.5,9,130,7.11,4.18,2003,6,188,"DB",6,1152
75,299,5.2,NA,NA,NA,NA,NA,2003,NA,NA,"OL",8,1153
73,253,4.69,37,25,117,7.32,4.24,2003,2,47,"LB",2,1154
79,257,4.93,34.5,16,115,7.36,4.39,2003,7,227,"DL",7,1155
75,324,5.1,NA,NA,NA,NA,NA,2003,6,183,"DL",6,1156
73,303,5.04,32,29,104,7.64,4.29,2003,6,174,"DL",6,1157
72,237,4.71,NA,NA,NA,NA,NA,2003,2,49,"LB",2,1158
73,210,4.6,38,NA,124,7.03,4.23,2003,NA,NA,"WR",8,1159
74,240,4.65,32.5,22,114,7.29,4.26,2003,7,247,"RB",7,1160
74,285,5,32,22,104,7.71,4.57,2003,5,145,"DL",5,1161
75,214,4.65,33.5,NA,116,6.93,4.09,2003,NA,NA,"WR",8,1162
75,297,5.19,NA,28,NA,NA,NA,2003,NA,NA,"OL",8,1163
73,255,4.73,31.5,NA,114,7.78,4.32,2003,4,134,"RB",4,1164
72,228,4.65,30,NA,106,7.49,4.39,2003,NA,NA,"LB",8,1165
76,259,4.86,28.5,19,102,7.37,4.34,2003,7,234,"TE",7,1166
77,301,5.26,NA,21,NA,NA,NA,2003,2,50,"OL",2,1167
70,189,4.37,41,NA,136,6.88,3.83,2003,1,5,"DB",1,1168
74,220,4.65,33.5,17,119,7.08,4.16,2003,5,154,"DB",5,1169
77,303,5.28,27,20,90,8.21,4.96,2003,NA,NA,"OL",8,1170
73,241,4.6,NA,26,NA,NA,NA,2003,6,191,"LB",6,1171
78,308,5.35,26.5,23,94,8.65,5.03,2003,NA,NA,"OL",8,1172
77,208,4.68,31,NA,122,7.19,4.44,2003,NA,NA,"WR",8,1173
76,269,4.79,33,NA,115,NA,NA,2003,1,18,"DL",1,1174
73,208,4.57,35.5,25,115,6.87,4.08,2003,5,140,"DB",5,1175
74,226,4.96,NA,NA,NA,NA,NA,2003,NA,NA,"K",8,1176
77,232,4.65,NA,NA,NA,NA,NA,2003,1,1,"QB",1,1177
78,337,5.3,NA,38,NA,NA,NA,2003,5,173,"OL",5,1178
75,246,4.65,37,21,125,7.07,4.35,2003,3,67,"LB",3,1179
75,298,4.8,NA,NA,NA,NA,NA,2003,3,79,"DL",3,1180
73,251,4.78,27.5,28,NA,NA,NA,2003,2,51,"LB",2,1181
75,218,4.82,30,NA,106,NA,NA,2003,NA,NA,"QB",8,1182
74,243,4.63,39,NA,128,NA,NA,2003,4,129,"DL",4,1183
74,206,4.57,38,14,125,6.77,4.21,2003,7,252,"DB",7,1184
77,259,4.69,35,NA,NA,NA,NA,2003,NA,NA,"TE",8,1185
70,229,4.68,NA,NA,NA,NA,NA,2003,4,99,"RB",4,1186
70,265,4.62,NA,22,NA,NA,NA,2003,7,229,"RB",7,1187
70,206,4.4,NA,NA,NA,NA,NA,2003,1,16,"DB",1,1188
78,311,5.32,26,NA,95,8.43,4.98,2003,NA,NA,"OL",8,1189
77,301,5.23,28.5,21,102,8.38,4.7,2003,NA,NA,"OL",8,1190
76,249,4.99,30.5,NA,101,7.42,4.36,2003,3,88,"QB",3,1191
76,279,4.88,NA,24,NA,NA,NA,2003,3,66,"DL",3,1192
75,255,4.82,37,23,119,7.49,4.32,2003,NA,NA,"TE",8,1193
69,203,4.63,34,18,117,7.12,4.26,2003,NA,NA,"DB",8,1194
73,317,5.15,NA,NA,NA,NA,NA,2003,1,4,"DL",1,1195
72,240,4.95,33.5,19,116,7.62,4.36,2003,NA,NA,"LB",8,1196
74,202,4.4,NA,NA,NA,NA,NA,2003,1,2,"WR",1,1197
74,295,5.2,27.5,27,99,8.16,4.65,2003,NA,NA,"OL",8,1198
74,230,5.01,30,NA,105,7.11,4.2,2003,NA,NA,"QB",8,1199
78,327,5.42,26.5,21,92,8.2,4.87,2003,NA,NA,"OL",8,1200
71,185,4.49,35.5,9,120,6.95,4.14,2003,4,120,"DB",4,1201
74,202,4.54,37.5,14,128,7.44,4.45,2003,7,258,"DB",7,1202
77,303,5.37,28.5,24,100,8.48,4.94,2003,NA,NA,"OL",8,1203
79,324,5.05,32,31,105,NA,NA,2003,NA,NA,"OL",8,1204
74,297,5.21,31.5,NA,111,7.73,4.72,2003,6,187,"DL",6,1205
71,229,4.55,NA,NA,NA,NA,NA,2003,NA,NA,"RB",8,1206
72,216,4.64,36.5,NA,112,7.13,4.3,2003,6,182,"DB",6,1207
71,192,4.47,32,NA,118,7.37,4.37,2003,NA,NA,"WR",8,1208
77,307,5.09,30.5,18,94,8.56,5.13,2003,NA,NA,"OL",8,1209
74,236,4.91,NA,NA,NA,NA,NA,2003,5,149,"K",5,1210
77,330,5.48,28,23,98,7.85,4.72,2003,4,122,"OL",4,1211
73,219,4.6,NA,13,NA,NA,NA,2003,2,55,"DB",2,1212
74,312,5.16,28.5,28,99,8.12,5,2003,4,116,"DL",4,1213
76,261,4.8,NA,20,NA,NA,NA,2003,3,76,"TE",3,1214
75,309,5.44,28.5,16,99,7.93,4.66,2003,NA,NA,"OL",8,1215
74,245,4.72,31,20,111,7.27,4.32,2003,7,251,"LB",7,1216
76,251,4.65,39.5,28,120,7.09,4.31,2003,3,91,"TE",3,1217
75,214,4.89,NA,NA,NA,NA,NA,2003,NA,NA,"K",8,1218
76,220,4.84,31,NA,103,7.38,4.21,2003,3,97,"QB",3,1219
74,253,4.88,NA,NA,NA,NA,NA,2003,NA,NA,"LB",8,1220
75,258,4.62,37,26,122,6.74,4.25,2003,2,61,"TE",2,1221
73,232,4.45,35.5,NA,123,NA,NA,2003,3,77,"RB",3,1222
70,220,4.48,NA,19,NA,NA,NA,2003,4,105,"RB",4,1223
77,243,4.79,35.5,16,118,7.23,4.37,2003,7,223,"TE",7,1224
76,296,5.14,32.5,24,114,7.62,4.75,2003,3,78,"OL",3,1225
77,307,5,30,18,109,7.7,4.49,2003,5,151,"OL",5,1226
76,317,5.48,27.5,NA,103,8.54,5.08,2003,NA,NA,"OL",8,1227
74,274,4.97,NA,26,NA,NA,NA,2003,NA,NA,"DL",8,1228
78,297,4.96,36,NA,119,7.36,4.42,2003,2,33,"OL",2,1229
77,302,4.99,35,32,115,7.83,4.62,2003,2,37,"OL",2,1230
77,248,5.06,30,9,109,7.59,4.4,2003,NA,NA,"TE",8,1231
74,203,4.68,39,NA,122,6.91,4.16,2003,NA,NA,"WR",8,1232
70,187,4.53,35.5,16,121,6.98,4.04,2003,3,90,"DB",3,1233
72,202,4.44,NA,NA,NA,NA,NA,2003,4,115,"RB",4,1234
75,262,4.84,NA,NA,NA,NA,NA,2003,1,10,"DL",1,1235
75,313,5.1,NA,NA,NA,NA,NA,2003,1,6,"DL",1,1236
76,303,5.23,28.5,25,103,7.81,4.51,2003,6,184,"OL",6,1237
75,334,5.48,25.5,25,94,8.62,5,2003,NA,NA,"OL",8,1238
76,248,5.01,31,17,113,7.47,4.53,2003,NA,NA,"TE",8,1239
74,240,4.58,35.5,29,123,7.01,4.22,2003,2,52,"LB",2,1240
73,207,4.49,40,12,131,7.05,3.89,2003,2,35,"DB",2,1241
72,231,4.65,34.5,19,111,6.97,4.07,2003,2,43,"LB",2,1242
71,233,4.6,NA,19,NA,NA,NA,2003,4,132,"RB",4,1243
73,202,4.67,36,NA,119,6.99,4.23,2003,5,169,"WR",5,1244
71,199,4.38,39,11,127,6.87,4.32,2003,1,11,"DB",1,1245
70,188,4.34,35,16,123,7.25,4.2,2003,6,178,"DB",6,1246
78,328,5.35,30,NA,103,8.39,4.97,2003,NA,NA,"OL",8,1247
73,189,4.55,NA,NA,NA,NA,NA,2003,NA,NA,"WR",8,1248
74,288,5.24,NA,26,111,NA,NA,2003,7,238,"DL",7,1249
70,193,4.66,34.5,NA,115,7.01,4.11,2003,5,139,"WR",5,1250
78,252,4.72,33.5,24,115,7.57,4.3,2003,5,161,"TE",5,1251
71,196,4.56,38,NA,127,6.98,4.14,2003,4,110,"QB",4,1252
72,211,5,NA,NA,NA,NA,NA,2003,NA,NA,"K",8,1253
76,272,4.9,NA,30,NA,NA,NA,2003,5,150,"DL",5,1254
71,184,4.67,31,11,109,7.05,4.29,2003,5,170,"DB",5,1255
79,321,5.14,31.5,20,107,7.61,4.5,2003,3,75,"OL",3,1256
75,256,4.79,34,22,110,7.52,4.47,2003,NA,NA,"TE",8,1257
77,307,5.1,NA,27,NA,NA,NA,2003,1,13,"DL",1,1258
77,275,5.03,27,22,109,8.59,4.82,2003,NA,NA,"DL",8,1259
74,223,4.42,NA,NA,NA,NA,NA,2003,3,65,"WR",3,1260
72,223,4.63,34,15,114,7.35,4.2,2003,NA,NA,"RB",8,1261
73,204,4.38,38,9,125,7.14,4.13,2003,4,98,"DB",4,1262
75,300,5.16,29,23,104,8.35,4.56,2003,6,177,"OL",6,1263
74,273,4.76,33,22,112,7.22,4.32,2003,2,64,"DL",2,1264
72,229,4.8,29,27,111,7.32,4.34,2003,5,162,"LB",5,1265
76,321,5.18,30,28,106,7.95,4.58,2003,3,87,"OL",3,1266
76,245,4.8,NA,NA,NA,NA,NA,2003,4,112,"LB",4,1267
75,271,4.91,34.5,29,114,7.45,4.4,2003,6,189,"DL",6,1268
74,263,4.7,32,29,113,7.53,4.47,2003,3,89,"DL",3,1269
77,321,5.25,27.5,NA,99,8.57,5.01,2003,4,113,"OL",4,1270
69,213,4.63,32.5,22,112,7.32,4.47,2003,4,101,"RB",4,1271
77,304,4.81,30,23,112,7.66,5.04,2003,1,9,"DL",1,1272
77,340,5.08,32.5,27,108,8.06,4.54,2003,7,225,"OL",7,1273
70,192,4.48,38,15,122,7.18,4.05,2003,2,36,"DB",2,1274
78,264,4.65,31,25,NA,NA,NA,2003,3,69,"TE",3,1275
73,207,4.78,32.5,NA,113,7.14,4.16,2003,NA,NA,"QB",8,1276
73,197,4.47,35.5,10,128,6.78,3.96,2003,1,28,"DB",1,1277
74,249,4.89,34.5,16,115,7.24,NA,2003,4,104,"TE",4,1278
73,201,4.76,36,13,114,7.42,4.41,2003,NA,NA,"DB",8,1279
77,214,4.54,39,NA,121,6.9,4.25,2003,7,226,"WR",7,1280
76,257,4.7,NA,20,NA,NA,NA,2003,NA,NA,"TE",8,1281
69,179,4.58,33.5,NA,120,6.89,4.08,2004,7,244,"WR",7,1282
75,254,4.65,33,NA,118,NA,4.36,2004,5,145,"DL",5,1283
71,185,4.35,39.5,NA,125,6.97,4.23,2004,NA,NA,"DB",8,1284
72,210,4.64,32,NA,114,7.41,4.43,2004,NA,NA,"RB",8,1285
72,202,4.58,NA,NA,NA,NA,NA,2004,4,111,"DB",4,1286
78,265,4.72,33,13,120,7.11,4.34,2004,NA,NA,"DL",8,1287
72,209,4.59,38,21,123,7.37,4.34,2004,NA,NA,"DB",8,1288
75,307,5.01,NA,NA,NA,NA,NA,2004,3,74,"DL",3,1289
78,269,4.89,30,17,106,7.86,4.45,2004,7,245,"TE",7,1290
78,342,5.07,30.5,34,106,8.09,4.78,2004,4,123,"OL",4,1291
76,366,5.49,25,27,98,8.25,4.85,2004,1,16,"OL",1,1292
77,308,5.2,27,20,101,7.55,4.42,2004,4,114,"DL",4,1293
75,260,4.62,34,28,121,7.03,4.14,2004,1,27,"DL",1,1294
70,204,4.5,36,21,117,7.19,4.12,2004,NA,NA,"DB",8,1295
77,277,5.07,NA,24,NA,NA,NA,2004,5,133,"DL",5,1296
72,180,4.46,31,NA,113,NA,NA,2004,NA,NA,"WR",8,1297
71,212,4.37,38.5,25,117,NA,NA,2004,2,41,"RB",2,1298
77,302,5.22,NA,26,NA,NA,NA,2004,5,138,"OL",5,1299
73,183,4.58,38,NA,128,7.34,4.18,2004,3,78,"WR",3,1300
75,303,5.09,30,33,109,7.44,4.38,2004,7,204,"DL",7,1301
76,266,4.89,NA,12,102,NA,NA,2004,NA,NA,"TE",8,1302
74,230,4.6,34,14,112,7.12,4.05,2004,7,240,"LB",7,1303
76,306,5.06,29.5,NA,110,7.41,4.27,2004,NA,NA,"DL",8,1304
74,225,4.5,NA,NA,NA,6.89,3.92,2004,2,53,"LB",2,1305
73,306,5.09,26.5,19,104,7.88,4.85,2004,NA,NA,"DL",8,1306
71,177,4.45,NA,NA,NA,NA,NA,2004,6,183,"DB",6,1307
69,187,4.43,33,15,124,7.24,4.44,2004,NA,NA,"DB",8,1308
72,219,4.56,33,NA,117,7.38,4.21,2004,NA,NA,"WR",8,1309
71,209,4.67,36,15,120,6.75,4.08,2004,5,160,"DB",5,1310
78,306,5.32,24.5,25,97,7.66,4.76,2004,NA,NA,"OL",8,1311
71,204,4.73,29,NA,114,7.26,4.32,2004,NA,NA,"LB",8,1312
79,320,5.11,30.5,NA,105,7.96,4.92,2004,6,172,"OL",6,1313
76,302,5.18,33,25,111,7.63,4.66,2004,NA,NA,"DL",8,1314
75,308,5.35,NA,26,NA,NA,NA,2004,NA,NA,"DL",8,1315
76,335,5.33,NA,30,NA,NA,NA,2004,1,19,"OL",1,1316
70,195,4.34,41,15,128,NA,NA,2004,1,25,"DB",1,1317
77,305,5,28.5,28,106,8.35,4.8,2004,NA,NA,"DL",8,1318
76,204,4.36,NA,NA,NA,NA,NA,2004,5,163,"WR",5,1319
71,224,4.51,34.5,22,112,NA,4.12,2004,NA,NA,"RB",8,1320
79,294,5.17,27.5,27,107,7.53,4.37,2004,NA,NA,"OL",8,1321
76,297,5.25,NA,19,85,8.31,4.98,2004,NA,NA,"OL",8,1322
79,313,5.44,27,22,101,7.56,4.4,2004,6,176,"OL",6,1323
78,351,5.28,22,NA,86,8.75,4.94,2004,NA,NA,"DL",8,1324
75,253,4.71,33,23,115,NA,4.08,2004,4,130,"LB",4,1325
78,312,5.1,NA,32,NA,NA,NA,2004,NA,NA,"OL",8,1326
79,315,5.51,30,24,100,8.09,4.88,2004,NA,NA,"OL",8,1327
77,329,5.52,26,NA,102,7.9,4.74,2004,7,227,"OL",7,1328
75,223,4.95,NA,NA,NA,NA,NA,2004,NA,NA,"QB",8,1329
77,294,4.95,NA,23,NA,NA,NA,2004,7,230,"DL",7,1330
75,209,4.67,32.5,NA,116,6.77,4.09,2004,1,15,"WR",1,1331
72,223,4.75,40,NA,123,NA,NA,2004,4,128,"RB",4,1332
72,233,4.58,34.5,22,118,NA,NA,2004,NA,NA,"LB",8,1333
73,207,4.6,30,NA,NA,NA,NA,2004,2,62,"WR",2,1334
71,194,4.49,39.5,8,127,NA,NA,2004,2,38,"DB",2,1335
70,200,4.64,35.5,16,117,7.03,4.14,2004,5,143,"DB",5,1336
73,201,4.69,35,NA,112,NA,NA,2004,NA,NA,"WR",8,1337
75,265,4.87,33,22,115,7.21,4.19,2004,3,81,"TE",3,1338
75,223,4.55,36.5,25,121,7.02,4.12,2004,3,79,"LB",3,1339
72,208,4.53,35.5,NA,116,7.34,4.31,2004,NA,NA,"WR",8,1340
73,241,4.65,35.5,22,NA,7.25,4.16,2004,3,86,"LB",3,1341
72,212,4.54,36,NA,121,6.93,3.91,2004,4,108,"WR",4,1342
74,316,6.05,NA,NA,NA,8.03,4.86,2004,NA,NA,"OL",8,1343
73,226,4.83,30.5,14,108,NA,NA,2004,NA,NA,"RB",8,1344
73,201,4.6,34.5,17,127,NA,NA,2004,NA,NA,"DB",8,1345
72,197,4.6,31,NA,117,6.72,3.94,2004,NA,NA,"WR",8,1346
75,251,4.58,NA,NA,NA,NA,NA,2004,2,33,"LB",2,1347
76,301,5.23,28.5,22,110,7.85,4.61,2004,4,131,"OL",4,1348
73,213,4.52,37,NA,129,NA,NA,2004,3,82,"WR",3,1349
74,239,4.76,NA,NA,114,7.2,4.02,2004,5,155,"LB",5,1350
70,200,4.54,33.5,13,112,7.27,4.07,2004,NA,NA,"RB",8,1351
74,214,4.5,35.5,10,120,6.97,4.42,2004,NA,NA,"DB",8,1352
76,316,5.12,27,29,106,8.34,NA,2004,NA,NA,"DL",8,1353
70,195,4.77,35.5,15,118,NA,NA,2004,NA,NA,"DB",8,1354
75,297,5,31,26,105,NA,NA,2004,3,64,"DL",3,1355
79,322,5.46,28.5,26,102,8.3,4.84,2004,4,115,"OL",4,1356
76,332,5.5,26.5,21,98,8.01,4.82,2004,NA,NA,"OL",8,1357
71,203,4.53,35,13,120,6.94,4.03,2004,6,170,"DB",6,1358
76,263,5,28,21,109,7.4,4.32,2004,7,220,"TE",7,1359
73,222,4.65,NA,20,NA,NA,NA,2004,4,122,"DB",4,1360
71,226,4.58,NA,15,NA,NA,NA,2004,7,208,"RB",7,1361
75,313,5.12,28,25,105,7.59,4.68,2004,2,51,"DL",2,1362
71,202,4.53,35,17,113,7.19,4.27,2004,NA,NA,"DB",8,1363
76,251,4.84,31,21,108,7.86,4.49,2004,NA,NA,"DL",8,1364
77,260,4.93,34.5,25,115,6.99,4.13,2004,4,109,"TE",4,1365
71,197,4.39,34.5,NA,120,NA,NA,2004,1,13,"WR",1,1366
72,194,4.55,NA,NA,NA,NA,NA,2004,NA,NA,"DB",8,1367
72,231,4.68,34.5,25,120,7.44,4.25,2004,NA,NA,"RB",8,1368
76,226,4.83,30.5,NA,113,7.28,4.18,2004,NA,NA,"QB",8,1369
75,225,4.48,NA,NA,NA,NA,NA,2004,1,3,"WR",1,1370
72,230,4.62,32,NA,120,6.94,3.91,2004,6,191,"RB",6,1371
76,266,5,30.5,24,111,7.49,4.35,2004,NA,NA,"TE",8,1372
75,250,4.8,37.5,35,118,7.19,4.19,2004,NA,NA,"LB",8,1373
74,227,4.65,NA,28,NA,NA,NA,2004,3,93,"LB",3,1374
69,198,4.33,38.5,NA,114,6.97,4.06,2004,4,99,"WR",4,1375
74,275,5.06,33,18,109,7.44,4.18,2004,7,232,"TE",7,1376
79,323,4.98,30,24,105,7.42,4.38,2004,1,2,"OL",1,1377
73,198,4.52,NA,NA,NA,NA,NA,2004,1,28,"DB",1,1378
71,199,4.46,36.5,11,123,6.91,3.91,2004,3,92,"DB",3,1379
73,229,4.65,NA,NA,NA,NA,NA,2004,3,69,"LB",3,1380
75,271,4.84,33.5,24,112,NA,NA,2004,4,117,"DL",4,1381
74,248,5.02,27.5,11,103,7.47,4.5,2004,NA,NA,"TE",8,1382
74,245,4.7,34.5,21,129,7.26,4.04,2004,5,153,"DL",5,1383
70,178,4.5,36.5,7,126,NA,NA,2004,NA,NA,"DB",8,1384
75,303,5.16,NA,31,NA,NA,NA,2004,2,45,"OL",2,1385
74,199,4.53,41,NA,131,6.79,4.08,2004,5,157,"WR",5,1386
74,323,5.5,24.5,27,91,7.94,4.66,2004,6,174,"OL",6,1387
70,202,4.34,NA,NA,NA,NA,NA,2004,1,8,"DB",1,1388
75,317,5.54,26.5,27,101,8.12,4.55,2004,NA,NA,"OL",8,1389
75,196,4.54,NA,NA,NA,NA,NA,2004,3,77,"WR",3,1390
75,295,5.2,34,27,108,7.72,4.55,2004,3,66,"OL",3,1391
73,242,4.73,NA,27,NA,NA,NA,2004,NA,NA,"LB",8,1392
76,252,4.69,30.5,25,118,7.44,4.25,2004,NA,NA,"DL",8,1393
74,295,4.78,NA,29,NA,NA,NA,2004,1,14,"DL",1,1394
73,238,4.78,31,NA,115,NA,NA,2004,6,187,"QB",6,1395
76,263,4.8,35,23,117,7.1,3.98,2004,3,68,"TE",3,1396
76,311,5.67,23,18,94,8.25,5.12,2004,NA,NA,"OL",8,1397
71,198,4.41,NA,NA,NA,NA,NA,2004,2,50,"WR",2,1398
74,315,5.2,NA,NA,NA,NA,NA,2004,NA,NA,"OL",8,1399
72,231,4.68,32.5,26,106,7.38,4,2004,NA,NA,"LB",8,1400
79,305,5.12,29,23,106,NA,NA,2004,2,63,"DL",2,1401
73,307,5.17,29,26,110,8.22,4.75,2004,NA,NA,"DL",8,1402
75,267,4.57,36.5,31,123,7.99,4.48,2004,NA,NA,"DL",8,1403
72,235,4.64,33.5,NA,117,7.14,4.09,2004,NA,NA,"LB",8,1404
70,185,4.46,34.5,11,115,7.05,4.06,2004,6,173,"DB",6,1405
73,241,4.55,NA,NA,NA,NA,NA,2004,1,24,"RB",1,1406
76,300,4.98,30.5,28,105,7.84,4.52,2004,NA,NA,"OL",8,1407
76,218,4.4,NA,NA,NA,NA,NA,2004,1,29,"WR",1,1408
71,213,4.6,35,NA,123,7.47,4.16,2004,NA,NA,"WR",8,1409
72,230,4.49,39,30,NA,NA,NA,2004,4,112,"LB",4,1410
77,260,4.8,35.5,23,110,7.06,4.08,2004,7,234,"DL",7,1411
71,202,4.61,32.5,NA,118,7.16,4.16,2004,NA,NA,"WR",8,1412
75,304,4.69,34,31,114,7.56,4.6,2004,2,47,"DL",2,1413
75,286,5.06,30,19,111,7.78,4.53,2004,NA,NA,"DL",8,1414
76,269,4.87,NA,NA,NA,NA,NA,2004,NA,NA,"DL",8,1415
