"Ht","Wt","Forty","Vertical","BenchReps","BroadJump","Cone","Shuttle","Year","Round","Pick","PosRec","RoundRec","seq"
71,215,4.66,30,13,115,7.34,4.41,2000,3,81,"RB",3,81
73,206,4.58,NA,NA,117,NA,NA,2000,3,66,"WR",3,82
71,260,4.99,28,NA,104,7.88,4.81,2000,4,117,"RB",4,83
72,191,4.46,NA,NA,120,NA,NA,2000,6,180,"DB",6,84
77,226,4.65,NA,NA,NA,NA,NA,2000,NA,NA,"LB",8,85
76,280,4.85,NA,NA,NA,NA,NA,2000,1,12,"DL",1,86
76,260,4.73,34,24,115,6.95,4.28,2000,2,35,"DL",2,87
73,242,4.68,34.5,8,NA,NA,NA,2000,NA,NA,"LB",8,88
72,190,4.51,33,NA,108,6.63,3.94,2000,NA,NA,"WR",8,89
75,217,4.58,NA,NA,NA,NA,NA,2000,4,103,"WR",4,90
71,207,4.92,31,NA,106,7.3,4.45,2000,NA,NA,"QB",8,91
73,196,4.43,NA,NA,NA,NA,NA,2000,NA,NA,"WR",8,92
76,243,4.76,34,22,115,7.51,4.56,2000,NA,NA,"DL",8,93
76,249,4.72,37,14,116,6.92,4.16,2000,NA,NA,"TE",8,94
76,271,4.75,33,24,114,7.21,4.15,2000,1,26,"DL",1,95
70,198,4.55,37,NA,121,6.88,4.06,2000,NA,NA,"WR",8,96
71,201,4.43,34.5,19,117,6.84,4.36,2000,NA,NA,"RB",8,97
76,280,4.78,37,32,117,7.07,4.27,2000,NA,NA,"DL",8,98
78,265,4.85,NA,NA,NA,NA,NA,2000,1,14,"TE",1,99
73,199,4.55,NA,14,NA,NA,NA,2000,5,145,"DB",5,100
72,188,4.5,35.5,14,124,6.91,4.38,2000,5,152,"DB",5,101
76,281,4.73,34.5,31,114,7.2,4.41,2000,3,93,"DL",3,102
75,253,4.85,27,18,116,7.46,4.52,2000,7,227,"RB",7,103
69,186,4.56,37,21,124,6.6,3.9,2000,NA,NA,"DB",8,104
75,249,4.62,32.5,22,113,7.15,4.3,2000,NA,NA,"TE",8,105
75,199,4.56,37.5,NA,121,7.03,4.29,2000,4,111,"WR",4,106
76,243,4.65,34,21,120,6.9,4.28,2000,5,149,"LB",5,107
71,173,4.66,NA,NA,NA,NA,NA,2000,NA,NA,"WR",8,108
73,221,4.56,33,21,115,6.97,4.19,2000,2,40,"LB",2,109
71,195,4.45,NA,NA,NA,NA,NA,2000,2,49,"DB",2,110
71,188,4.62,32,16,117,7.3,4.3,2000,NA,NA,"DB",8,111
77,316,5.31,29.5,24,98,8,5.03,2000,6,167,"DL",6,112
74,209,4.5,NA,15,NA,NA,NA,2000,2,57,"DB",2,113
76,338,5.85,23,20,94,NA,NA,2000,NA,NA,"OL",8,114
73,214,4.94,33.5,19,116,7.38,4.24,2000,NA,NA,"DB",8,115
72,189,4.53,38.5,NA,118,NA,4.2,2000,NA,NA,"DB",8,116
72,253,4.78,28.5,25,108,7.08,4.34,2000,7,213,"RB",7,117
72,233,4.56,36,22,120,NA,NA,2000,2,50,"LB",2,118
74,307,4.87,30,27,105,7.37,4.6,2000,NA,NA,"DL",8,119
75,297,4.9,31,30,111,7.63,4.62,2000,2,42,"DL",2,120
75,253,4.97,31.5,20,109,7.12,4.21,2000,5,137,"LB",5,121
74,206,4.52,NA,NA,NA,NA,NA,2000,NA,NA,"WR",8,122
74,271,5.03,32,NA,111,7.86,4.51,2000,NA,NA,"DL",8,123
68,191,4.44,38,18,123,6.62,3.82,2000,NA,NA,"RB",8,124
72,237,4.66,34.5,21,118,7.48,4.44,2000,NA,NA,"RB",8,125
70,192,4.81,NA,NA,106,NA,NA,2000,7,234,"QB",7,126
73,201,4.54,36,NA,116,7.57,4.41,2000,NA,NA,"WR",8,127
72,197,4.5,32,17,125,6.97,4.07,2000,NA,NA,"RB",8,128
70,238,4.81,30,NA,109,7.27,4.36,2000,NA,NA,"RB",8,129
72,190,4.53,34.5,NA,114,6.73,4.25,2000,NA,NA,"DB",8,130
69,186,4.34,39,16,121,6.75,4.01,2000,6,187,"DB",6,131
70,190,4.5,37.5,16,119,7.12,4.25,2000,3,64,"DB",3,132
71,204,4.5,NA,NA,NA,7.33,4.18,2000,5,143,"WR",5,133
73,312,5.4,29,20,94,7.94,4.63,2000,NA,NA,"OL",8,134
76,297,5.23,NA,NA,NA,NA,NA,2000,NA,NA,"OL",8,135
73,215,4.54,34.5,NA,116,7.14,4.21,2000,NA,NA,"WR",8,136
74,234,NA,NA,NA,NA,NA,NA,2000,NA,NA,"K",8,137
74,305,4.99,30,35,101,6.85,4.16,2000,1,25,"DL",1,138
71,190,4.55,NA,NA,NA,NA,NA,2000,NA,NA,"DB",8,139
76,281,5.09,29,NA,108,7,4.32,2000,2,33,"DL",2,140
71,186,4.56,NA,16,NA,6.98,4.13,2000,NA,NA,"DB",8,141
75,254,5.1,34,21,119,NA,NA,2000,NA,NA,"DL",8,142
75,216,5.2,27.5,NA,99,7.17,4.41,2000,6,202,"QB",6,143
72,192,4.7,NA,NA,NA,NA,NA,2000,NA,NA,"WR",8,144
75,324,5.12,NA,NA,NA,NA,NA,2000,4,107,"DL",4,145
77,296,5.05,31.5,19,105,7.69,4.72,2000,6,176,"DL",6,146
73,242,4.6,35.5,24,125,7.15,4.14,2000,NA,NA,"RB",8,147
76,319,5.2,NA,28,NA,NA,NA,2000,NA,NA,"DL",8,148
72,226,4.68,NA,NA,109,NA,NA,2000,7,214,"QB",7,149
72,197,4.56,NA,NA,NA,NA,NA,2000,3,80,"WR",3,150
75,304,5.2,NA,19,NA,NA,NA,2000,NA,NA,"OL",8,151
75,320,5.62,25.5,24,94,8.51,5.22,2000,6,182,"OL",6,152
73,260,NA,NA,NA,NA,NA,NA,2000,1,17,"K",1,153
70,184,4.5,NA,18,118,NA,NA,2000,NA,NA,"RB",8,154
72,198,4.51,38,16,123,6.91,4.14,2000,NA,NA,"DB",8,155
78,310,5.25,29,NA,107,7.9,4.66,2000,NA,NA,"OL",8,156
76,345,5.56,28,35,99,8.07,4.99,2000,NA,NA,"OL",8,157
72,293,5.03,28.5,26,102,NA,NA,2000,4,101,"DL",4,158
72,215,4.6,38,12,121,6.96,4.17,2000,7,224,"DB",7,159
76,285,4.97,28,26,105,7.51,4.76,2000,NA,NA,"DL",8,160
74,226,4.95,29.5,NA,96,NA,NA,2000,NA,NA,"QB",8,161
70,216,4.45,NA,NA,NA,NA,NA,2000,1,7,"RB",1,162
76,248,4.63,38.5,13,125,7.33,4.43,2000,NA,NA,"TE",8,163
74,247,4.95,32,17,113,7.27,4.39,2000,NA,NA,"LB",8,164
72,191,4.66,NA,NA,NA,NA,NA,2000,NA,NA,"WR",8,165
73,240,4.68,NA,29,NA,NA,NA,2000,6,177,"LB",6,166
